,station,date,avg_aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
1744,"IITG, Guwahati - PCBA",2024-12-31,4.708333333333333,1073.4004166666668,1.285,29.657916666666665,43.56875,9.660833333333333,92.89791666666666,108.27666666666664,14.989166666666668
1745,"IITG, Guwahati - PCBA",2025-01-01,4.666666666666667,1151.56125,0.9687499999999999,32.70250000000001,48.33958333333331,11.039166666666667,105.50999999999999,121.22625,19.092499999999998
1746,"IITG, Guwahati - PCBA",2025-01-02,4.875,1110.95125,0.8966666666666662,30.27666666666666,46.287083333333335,10.747916666666667,103.62416666666667,119.65708333333332,21.95875
1747,"IITG, Guwahati - PCBA",2025-01-03,4.875,1087.5858333333333,1.3762500000000004,24.400833333333335,45.32291666666668,6.2175,106.56166666666665,124.51708333333333,15.951666666666668
1748,"IITG, Guwahati - PCBA",2025-01-04,4.833333333333333,997.1858333333333,1.2641666666666664,20.168750000000003,46.21041666666667,4.790416666666667,93.30791666666669,107.28708333333334,14.859166666666667
1749,"IITG, Guwahati - PCBA",2025-01-05,4.833333333333333,938.2179166666665,1.2329166666666667,18.708333333333332,47.35374999999999,4.1345833333333335,86.55958333333335,102.71958333333332,13.787916666666666
1750,"IITG, Guwahati - PCBA",2025-01-06,4.708333333333333,1039.1874999999998,1.0933333333333335,27.339166666666674,48.23458333333334,8.065833333333334,83.88041666666665,99.77874999999999,14.569583333333334
1751,"IITG, Guwahati - PCBA",2025-01-07,3.5,795.245,1.6979166666666667,15.90333333333333,55.16374999999999,7.536666666666666,54.72333333333332,63.352083333333326,10.273333333333332
1752,"IITG, Guwahati - PCBA",2025-01-08,4.25,1041.1341666666665,0.12916666666666668,19.01,75.58625,6.934166666666666,77.75416666666666,85.88833333333334,6.960000000000001
1753,"IITG, Guwahati - PCBA",2025-01-09,4.041666666666667,1302.0429166666665,1.5345833333333332,25.667083333333338,43.49125,4.58875,82.24666666666667,94.63375,8.293333333333331
1754,"IITG, Guwahati - PCBA",2025-01-10,3.5833333333333335,892.5995833333335,1.0362500000000001,19.12541666666667,45.708333333333336,3.9083333333333328,49.16541666666666,60.79458333333333,7.458333333333333
1755,"IITG, Guwahati - PCBA",2025-01-11,3.875,915.6858333333333,1.8299999999999994,19.21875,47.231249999999996,3.845,58.40416666666667,72.05791666666667,11.474166666666664
1756,"IITG, Guwahati - PCBA",2025-01-12,4.083333333333333,936.2704166666666,1.7416666666666671,22.29416666666667,46.25833333333333,6.257499999999999,61.96458333333333,74.94958333333334,13.682083333333331
1757,"IITG, Guwahati - PCBA",2025-01-13,4.166666666666667,1092.3149999999998,1.3758333333333332,32.376666666666665,37.9725,9.930416666666668,69.94708333333332,85.86083333333333,19.622083333333332
1758,"IITG, Guwahati - PCBA",2025-01-14,4.125,890.6533333333333,0.41291666666666677,21.77625,45.829583333333325,4.5304166666666665,62.63791666666666,75.47375000000001,8.275833333333333
1759,"IITG, Guwahati - PCBA",2025-01-15,4.166666666666667,951.2895833333331,2.1825,21.785416666666663,46.47291666666666,4.74875,69.93750000000001,86.18291666666669,12.932916666666664
1760,"IITG, Guwahati - PCBA",2025-01-16,4.416666666666667,957.1316666666667,2.0691666666666664,22.79291666666667,48.195833333333326,5.090833333333333,71.14833333333333,88.58666666666664,12.28375
1761,"IITG, Guwahati - PCBA",2025-01-17,4.625,1109.2825000000003,1.43,32.34791666666666,47.60916666666666,8.62625,85.53041666666668,104.61041666666667,26.25833333333333
1762,"IITG, Guwahati - PCBA",2025-01-18,4.625,982.1658333333331,0.5091666666666667,22.635833333333334,66.36916666666666,9.116249999999999,90.55666666666666,103.68374999999999,16.810416666666665
1763,"IITG, Guwahati - PCBA",2025-01-19,4.916666666666667,1007.1999999999999,0.7666666666666667,21.532916666666665,60.655416666666675,6.968333333333334,104.52666666666669,116.42125000000003,10.500833333333334
1764,"IITG, Guwahati - PCBA",2025-01-20,5.0,1327.9120833333334,0.6883333333333335,28.170416666666668,62.36208333333334,11.397083333333335,159.09125000000003,175.29958333333332,17.286666666666665
1765,"IITG, Guwahati - PCBA",2025-01-21,5.0,1333.1966666666667,0.8495833333333335,23.77625,60.865416666666654,8.114583333333334,175.88041666666666,192.20791666666665,10.03208333333333
1766,"IITG, Guwahati - PCBA",2025-01-22,5.0,1319.5679166666666,0.6850000000000002,24.70125,66.13083333333333,7.421666666666667,168.16041666666666,183.84833333333336,9.215833333333334
1767,"IITG, Guwahati - PCBA",2025-01-23,5.0,1254.47875,0.6066666666666666,21.337083333333336,71.81708333333334,7.927916666666666,188.525,202.76833333333332,7.9383333333333335
1768,"IITG, Guwahati - PCBA",2025-01-24,5.0,1097.0445833333333,0.6475000000000001,19.265,76.57083333333333,8.082916666666668,173.0275,185.7770833333333,8.724583333333333
1769,"IITG, Guwahati - PCBA",2025-01-25,5.0,1219.9874999999997,0.17541666666666667,20.265416666666663,73.94000000000001,8.136666666666668,188.5625,202.47375,11.882499999999999
1770,"IITG, Guwahati - PCBA",2025-01-26,5.0,1096.20875,0.42124999999999996,21.09958333333333,68.05333333333336,6.351250000000001,147.20749999999998,161.49625,15.8675
1771,"IITG, Guwahati - PCBA",2025-01-27,5.0,1139.8791666666668,0.866666666666667,23.92125,56.10208333333333,9.259166666666667,129.89208333333337,143.8325,12.033749999999998
